City,Car Name,Price,Mileage,Fuel Type,Transmission,Car URL,Year
New Delhi,Volkswagen Polo GT TSI,590000.0,64000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-gt-tsi-cars-New-Delhi_5a7f398a-5092-46a4-9ca5-484e6e690241.htm,2016
New Delhi,Ford Endeavour 3.2 Titanium AT 4X4,1675000.0,85000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Ford-endeavour-32-titanium-at-4x4-cars-New-Delhi_6502bd13-240a-4556-9d74-e34b44067acb.htm?adId=4093&adType=41,2016
New Delhi,Toyota Innova Crysta 2.4 ZX 7 STR AT,1850000.0,94000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-zx-7-str-at-cars-New-Delhi_0430f090-f94d-48d8-b35a-a8b227ad8a77.htm,2020
New Delhi,Maruti Ciaz Delta BSIV,595000.0,68000.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-delta-bsiv-cars-New-Delhi_5b9b771b-fc2f-4f73-a780-6d8dacefe5db.htm,2018
New Delhi,Maruti Vitara Brezza ZXI,775000.0,62000.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-zxi-cars-New-Delhi_1b48d373-b49d-429d-8224-c8d191a72f41.htm,2020
New Delhi,Jeep Compass 1.4 Limited Plus BSIV,1175000.0,78000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Jeep-compass-14-limited-plus-bsiv-cars-New-Delhi_ac0e3345-a701-461d-ae2d-b9d17b726e96.htm?adId=4075&adType=41,2018
New Delhi,Jeep Compass 1.4 Limited,969999.0,75000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Jeep-compass-14-limited-cars-New-Delhi_9bcd9b49-e13b-4bb8-96d9-2b757f323852.htm,2017
New Delhi,MG Hector Sharp AT BSIV,1400000.0,45000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-at-bsiv-cars-New-Delhi_bd35a159-e02b-47c9-876a-1655b4cdc257.htm,2021
New Delhi,Lexus ES 300h Luxury,4350000.0,51085.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Lexus-es-300h-luxury-cars-New-Delhi_720059e1-da10-4303-8f43-44e4339ab508.htm,2019
New Delhi,Mercedes-Benz C-Class C 220 CDI Avantgarde,1650000.0,97000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-c-class-c-220-cdi-avantgarde-cars-New-Delhi_5e2022d2-8e19-4eb3-ac10-3ac30ea2e535.htm?adId=4100&adType=41,2016
New Delhi,Jeep Compass 1.4 Limited,975000.0,72000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Jeep-compass-14-limited-cars-New-Delhi_c799f807-6ebe-45b2-8140-d5a71a3e81f7.htm,2017
New Delhi,BMW X5 X5 M,2000000.0,22000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Bmw-x5-x5-m-cars-New-Delhi_09773b46-95af-46f8-a285-004eb7e4892d.htm,2014
New Delhi,Mercedes-Benz E-Class E 350d,2500000.0,40100.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-e-class-e-350d-cars-New-Delhi_5c400596-3ab1-4468-a914-1afc4181210b.htm,2017
New Delhi,BMW X4 M Sport X xDrive20d,3975000.0,52000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Bmw-x4-m-sport-x-xdrive20d-cars-New-Delhi_ec45745e-1503-4b50-955d-bd4b5ba91a46.htm?adId=4104&adType=41,2019
New Delhi,BMW 3 Series 320i Luxury Line,1875000.0,67000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Bmw-3-series-320i-luxury-line-cars-New-Delhi_3c1977f8-1243-4dbd-a9d2-26f6921afe91.htm,2016
New Delhi,Jeep Grand Cherokee SRT 4X4,3850000.0,116000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Jeep-grand-cherokee-srt-4x4-cars-New-Delhi_8d53968c-0fe8-41fa-aa47-df5bfa841eaa.htm,2016
New Delhi,Mercedes-Benz GLA Class 200 d Sport,1525000.0,40000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gla-class-200-d-sport-cars-New-Delhi_d356b44f-d253-4496-9983-1f3f787101c6.htm,2016
New Delhi,BMW 3 Series GT Luxury Line,1795000.0,78000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Bmw-3-series-gt-luxury-line-cars-New-Delhi_dc460f77-80a1-43b5-af3b-c0ae8aa2c408.htm?adId=4092&adType=41,2017
New Delhi,Hyundai Tucson Signature Diesel 4WD AT,2925000.0,40053.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Hyundai-tucson-signature-diesel-4wd-at-cars-New-Delhi_45f3cbc6-de5a-4be3-8f68-d3316438bb6f.htm,2023
New Delhi,Maruti Ciaz Delta 1.5,625000.0,64000.0,Diesel,Manual,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-delta-15-cars-New-Delhi_b29530ee-172d-43a3-85b3-a0cdcb940b08.htm,2019
New Delhi,Hyundai Verna 1.6 SX VTVT,575000.0,62000.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Hyundai-verna-16-sx-vtvt-cars-New-Delhi_09283475-88c6-4bf2-ac43-9ce778207d10.htm,2017
New Delhi,Audi Q7 45 TDI Quattro Premium Plus,2450000.0,77000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Audi-q7-45-tdi-quattro-premium-plus-cars-New-Delhi_9d704641-6439-4a20-8555-6d41a8369c2d.htm?adId=4102&adType=41,2016
New Delhi,Maruti Baleno 1.2 Zeta,574000.0,33936.0,Petrol,Manual,https://www.cardekho.com/buy-used-car-details/used-Maruti-baleno-12-zeta-cars-New-Delhi_2e369ebc-7933-49d1-aa43-630a0de18b4b.htm,2019
New Delhi,Hyundai Creta 1.6 SX Automatic,1125000.0,20200.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-sx-automatic-cars-New-Delhi_e1959cc0-d0cf-4c15-86c0-db22b20c8f6f.htm,2020
New Delhi,Mercedes-Benz GLE 350d,2990000.0,71000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gle-350d-cars-New-Delhi_4e8a8a54-d036-4fbf-b852-ad424bd10ecd.htm,2017
New Delhi,BMW X1 sDrive20d Expedition,1875000.0,72000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Bmw-x1-sdrive20d-expedition-cars-New-Delhi_647589dd-2940-40e1-b04b-8e9b2f87c854.htm?adId=4096&adType=41,2019
New Delhi,Volkswagen Taigun 1.0 TSI Comfortline BSVI,1075000.0,21600.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Volkswagen-taigun-10-tsi-comfortline-bsvi-cars-New-Delhi_1025ab93-8ef5-48d2-9db8-636e5c698015.htm,2023
New Delhi,BMW 7 Series 730Ld Design Pure Excellence CBU,3890000.0,38000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Bmw-7-series-730ld-design-pure-excellence-cbu-cars-New-Delhi_71f3dba1-7c74-415f-8f5c-16b562ff0ff9.htm,2016
New Delhi,Audi A3 35 TFSI Premium,1775000.0,58075.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Audi-a3-35-tfsi-premium-cars-New-Delhi_c6559b55-7500-4d4b-a064-e33089486173.htm,2019
New Delhi,Mahindra XUV700 AX7 AT BSVI,2000000.0,40000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax7-at-bsvi-cars-New-Delhi_76199594-ba3c-48e6-bdd0-30cc4742ca1a.htm?adId=4084&adType=41,2022
New Delhi,BMW 7 Series 730Ld Design Pure Excellence CBU,3890000.0,39000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Bmw-7-series-730ld-design-pure-excellence-cbu-cars-New-Delhi_c54c5ae1-d241-4b36-9953-ad31ac5d14cb.htm,2016
New Delhi,Land Rover Discovery Sport SD4 HSE Luxury 7S,1995000.0,60000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Land-rover-discovery-sport-sd4-hse-luxury-7s-cars-New-Delhi_31ac11f3-104d-433d-ba4f-a44386b559ff.htm,2016
New Delhi,Honda City VX,1087000.0,10936.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Honda-city-vx-cars-New-Delhi_4b7e119d-51f7-4940-971a-b704af93d95c.htm,2023
New Delhi,Mercedes-Benz E-Class Exclusive E 220d,3600000.0,55800.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-e-class-exclusive-e-220d-cars-New-Delhi_3d444a27-696c-490c-a6bf-55fca664deb3.htm?adId=4126&adType=41,2019
New Delhi,Renault Triber RXZ BSVI,625000.0,15500.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Renault-triber-rxz-bsvi-cars-New-Delhi_a23afa5b-690b-4506-9a52-4a0ea246034f.htm,2022
New Delhi,Tata Nexon EV Empowered Plus LR,1450000.0,21000.0,Electric,Automatic,https://www.cardekho.com/used-car-details/used-Tata-nexon-ev-empowered-plus-lr-cars-New-Delhi_9b7d9d2d-9079-481a-b037-45ae40585970.htm,2023
New Delhi,Hyundai Verna SX IVT,1450000.0,1900.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-ivt-cars-New-Delhi_1a8c5cbc-f436-47c6-80d3-4dab92015238.htm,2025
New Delhi,Mercedes-Benz E-Class Exclusive E 220d,4250000.0,37000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-e-class-exclusive-e-220d-cars-New-Delhi_dd5e80a0-a24e-474f-8b6f-1d0f4d790714.htm?adId=4099&adType=41,2020
New Delhi,Kia Seltos GTX,1082000.0,66332.0,Petrol,Manual,https://www.cardekho.com/buy-used-car-details/used-Kia-seltos-gtx-cars-New-Delhi_17077450-6143-4fd0-8f00-873e93f9a21e.htm,2019
New Delhi,Hyundai Santro Xing GL,195000.0,20140.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Hyundai-santro-xing-gl-cars-New-Delhi_d68e49a3-9504-4fca-b12d-4a6b1c034b59.htm,2013
New Delhi,Hyundai Creta 1.6 VTVT S,599000.0,52000.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-vtvt-s-cars-New-Delhi_03b10d94-7758-4efe-b85f-1ba9bb88456a.htm,2016
New Delhi,Ford Endeavour 3.2 Titanium AT 4X4,2125000.0,78000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Ford-endeavour-32-titanium-at-4x4-cars-New-Delhi_e121de6b-6c07-450a-be86-7def45fd5eeb.htm?adId=4105&adType=41,2018
New Delhi,Jeep Compass 1.4 Limited Plus BSIV,1100000.0,90000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Jeep-compass-14-limited-plus-bsiv-cars-New-Delhi_45747f19-78cf-4b39-9898-17eba23b2a38.htm,2019
New Delhi,BMW X5 xDrive 30d,2790000.0,98000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Bmw-x5-xdrive-30d-cars-New-Delhi_b40ad6f5-0caf-47b1-adac-8e81e85e46a8.htm,2015
New Delhi,Mercedes-Benz S-Class S 500 L,4290000.0,78000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-s-class-s-500-l-cars-New-Delhi_29ef6bb0-91d1-47d8-8510-b47777150306.htm,2014
New Delhi,Jaguar XF 3.0 Litre S Premium Luxury,1375000.0,60000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Jaguar-xf-30-litre-s-premium-luxury-cars-New-Delhi_2b64c019-02d7-49cc-bb40-2a24ddcb4529.htm?adId=4095&adType=41,2016
New Delhi,Mercedes-Benz S-Class S 500 L,4290000.0,80000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-s-class-s-500-l-cars-New-Delhi_2539240f-568a-4e22-aa0c-af66e1725c03.htm,2014
New Delhi,Jeep Compass 2.0 Limited 4X4 Opt Diesel AT BSVI,2000000.0,19000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-limited-4x4-opt-diesel-at-bsvi-cars-New-Delhi_4366021b-b003-4a1d-b12f-d2d3353cdd05.htm,2021
New Delhi,Maruti Ertiga ZXI CNG,1065000.0,60000.0,CNG,Manual,https://www.cardekho.com/used-car-details/used-Maruti-ertiga-zxi-cng-cars-New-Delhi_41864a1a-42e5-49db-a2c2-b4de212cece9.htm,2022
New Delhi,Mahindra Thar LX 4WD Hard Top AT BSVI,1250000.0,34000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-at-bsvi-cars-New-Delhi_50884873-2879-40ab-ac66-315cc1ccc816.htm?adId=4108&adType=41,2021
New Delhi,Hyundai Verna VTVT 1.6 AT SX Plus,775000.0,52000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Hyundai-verna-vtvt-16-at-sx-plus-cars-New-Delhi_5357b383-74ba-4012-8212-e50970e73d44.htm,2018
New Delhi,BMW X3 xDrive 20d xLine,2590000.0,73000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Bmw-x3-xdrive-20d-xline-cars-New-Delhi_68c7e0af-accd-45be-969a-92d96f7797ae.htm,2018
New Delhi,MG Hector Sharp DCT,1050000.0,94000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-dct-cars-New-Delhi_15051f88-40e0-4393-ad3b-810109e44aed.htm,2019
New Delhi,Toyota Vellfire VIP Executive Lounge,10200000.0,19000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Toyota-vellfire-vip-executive-lounge-cars-New-Delhi_705541af-23da-4471-b429-96aa404f541d.htm?adId=4098&adType=41,2023
New Delhi,Maruti Swift Dzire ZXI,875000.0,40000.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-zxi-cars-New-Delhi_166b5ba1-3ca3-4f11-944e-4cc85ed3f33b.htm,2023
New Delhi,Mercedes-Benz C-Class C 200 CGI Avantgarde,2590000.0,65000.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-c-class-c-200-cgi-avantgarde-cars-New-Delhi_0571080d-2f59-4ead-a8ac-9c110d3211d9.htm,2016
New Delhi,Mercedes-Benz GLS 350d 4MATIC,4890000.0,114000.0,Diesel,Automatic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gls-350d-4matic-cars-New-Delhi_7d59374f-fe34-43dd-9303-90f82e5699b0.htm,2018
New Delhi,BMW 7 Series 740Li M Sport Edition,16200000.0,9910.0,Petrol,Automatic,https://www.cardekho.com/used-car-details/used-Bmw-7-series-740li-m-sport-edition-cars-New-Delhi_70dcca50-4454-40dc-9067-7f367baba4bd.htm?adId=4014&adType=41,2023
New Delhi,Jeep Compass 2.0 Sport,1180000.0,42000.0,Diesel,Manual,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-sport-cars-New-Delhi_4d3302f0-63a7-4e8c-ab24-63e9582c58b8.htm,2018
New Delhi,Kia Seltos GTX Plus,1175000.0,27000.0,Petrol,Manual,https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-cars-New-Delhi_65e5afff-7f18-46e1-b26e-1fea22578e55.htm,2020
