City,Car Name,Price,Year,Mileage,Fuel Type,Transmission,Car URL
Bangalore,2017 Ford Ecosport 1.5 Ti VCT MT Titanium,"₹5.68 Lakh
Compare","71,843 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Ford-ecosport-15-ti-vct-mt-titanium-cars-Bangalore_4f5665b1-1787-4e49-be2f-cc120cc51c26.htm
Bangalore,2019 Ford Freestyle Titanium Plus,"₹5.77 Lakh
Compare","50,512 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Ford-freestyle-titanium-plus-cars-Bangalore_699a224d-56db-4ccc-a8b7-de82bdb49683.htm
Bangalore,2019 Audi Q3 35 TDI Quattro Technology,"₹23.95 Lakh
Compare","88,881 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Audi-q3-35-tdi-quattro-technology-cars-Bangalore_ccbe886d-aa7c-41bd-b616-520c81d61b7e.htm?adId=1478&adType=41
Bangalore,2018 Hyundai Santro Sportz,"₹4.98 Lakh
Compare","16,677 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-santro-sportz-cars-Bangalore_a7fadbd9-29fb-4c54-969a-e0f097251e1c.htm
Bangalore,2017 Hyundai i20 Asta Option 1.2,"₹5.85 Lakh
Compare","82,000 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Hyundai-i20-asta-option-12-cars-Bangalore_49a90e3e-c784-4c6c-832d-18a019dc1ced.htm
Bangalore,2020 Renault Triber RXZ,"₹6.21 Lakh
Compare","54,836 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Renault-triber-rxz-cars-Bangalore_b59cf98b-00d0-43ab-a443-af4b34a984e7.htm
Bangalore,2021 MG Hector Super Diesel MT BSIV,"₹11.75 Lakh
Compare","80,000 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Mg-hector-super-diesel-mt-bsiv-cars-Bangalore_4220ac16-34c6-46a1-a470-829eb72c6207.htm?adId=3050&adType=41
Bangalore,2015 Maruti Baleno Zeta Diesel,"₹5.37 Lakh
Compare","60,289 kms",Diesel,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Maruti-baleno-zeta-diesel-cars-Bangalore_d8d7df46-6004-471d-87a1-d500457583f5.htm
Bangalore,2014 Hyundai Grand i10 Sportz,"₹4.43 Lakh
Compare","28,000 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-sportz-cars-Bangalore_8aa5814f-e867-46aa-b891-892963dc6889.htm
Bangalore,2017 Renault Duster SANDSTORM RXS 85 PS,"₹6.45 Lakh
Compare","88,677 kms",Diesel,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Renault-duster-sandstorm-rxs-85-ps-cars-Bangalore_bd55e4d2-288a-4245-b080-2dbd6cb7134a.htm
